unit_id,essay_file,sentence_id,sentence_text,sentence_with_boundry,error_span,n_annotators,annotators,gold_expression,gold_discourse,gold_meaning,expression_confidence,discourse_confidence,meaning_confidence,row_ambiguity,expr_votes_sum,disc_votes_sum,mean_votes_sum,label_signature
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||15,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,15,"On the other hand, The last point, this ban will not only arise smokers' negative mood, but also lead to social trend.","On the other hand, /ERR/The last point/ERR/, this ban will not only arise smokers' negative mood, but also lead to social trend.",The last point,2,ST_01|ST_04,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||16,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,16,"On the other hand, The last point, this ban will not only arise smokers' negative mood, but also lead to social trend.","On the other hand, The last point, this ban will not only /ERR/arise smokers' negative mood/ERR/, but also lead to social trend.",arise smokers' negative mood,2,ST_01|ST_04,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||17,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,17,"On the other hand, The last point, this ban will not only arise smokers' negative mood, but also lead to social trend.","On the other hand, The last point, this ban will not only arise smokers' negative mood, but also /ERR/lead to social trend/ERR/.",lead to social trend,2,ST_01|ST_04,1,1,1,low,high,low,high,1,2,1,1_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||18,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,18,Some smokers think that smoking can help them solve difficult problems and relax their thought.,Some smokers think that smoking can help them solve difficult problems and relax /ERR/their thought/ERR/.,their thought,2,ST_01|ST_04,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||19,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,19,"In the end, to draw a conclusion above, I strongly believe that smoking shouldn't be banned at all the restaurants in the country.","In the end, /ERR/to draw a conclusion above/ERR/, I strongly believe that smoking shouldn't be banned at all the restaurants in the country.",to draw a conclusion above,2,ST_01|ST_04,0,1,1,high,high,high,low,0,2,2,0_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx||20,CHN_A2_0 - Smoking - WE_CHN_SMK0_038_A2_0.xlsx,20,We can take some other ways to solve the problem of smoking in the restaurants.,We can /ERR/take some other ways/ERR/ to solve the problem of smoking in the restaurants.,take some other ways,2,ST_01|ST_04,1,1,1,low,low,low,high,1,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||2,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,2,"As is well known, smoking is a killer of humans'health, which does great harm to our breath systems and finally makes our bodies weak.","As is well known, smoking is /ERR/a killer of humans'health/ERR/, which does great harm to our breath systems and finally makes our bodies weak.",a killer of humans'health,2,ST_13|ST_19,1,1,1,low,low,low,high,1,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||3,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,3,"As is well known, smoking is a killer of humans'health, which does great harm to our breath systems and finally makes our bodies weak.","As is well known, smoking is a killer of humans'health, which does great harm to our /ERR/breath systems/ERR/ and finally makes our bodies weak.",breath systems,2,ST_13|ST_19,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||4,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,4,"And what makes matters worse; most healthy people dislike the smell of smoking, which is not only the matter the citizens care about but also the matter that affects the whole impression of the place.","And what makes matters worse; most healthy people dislike the /ERR/smell of smoking/ERR/, which is not only the matter the citizens care about but also the matter that affects the whole impression of the place.",smell of smoking,2,ST_13|ST_19,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||5,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,5,"And what makes matters worse; most healthy people dislike the smell of smoking, which is not only the matter the citizens care about but also the matter that affects the whole impression of the place.","And what makes matters worse; most healthy people dislike the smell of smoking, which is not only /ERR/the matter the citizens care about/ERR/ but also the matter that affects the whole impression of the place.",the matter the citizens care about,2,ST_13|ST_19,1,1,1,low,low,low,high,1,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||6,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,6,"And what makes matters worse; most healthy people dislike the smell of smoking, which is not only the matter the citizens care about but also the matter that affects the whole impression of the place.","And what makes matters worse; most healthy people dislike the smell of smoking, which is not only the matter the citizens care about but also /ERR/the matter that affects the whole impression of the place/ERR/.",the matter that affects the whole impression of the place,2,ST_13|ST_19,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||7,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,7,So we could safely come to the conclusion that smoking is harmful to everyone eager for health and honor except for the factories making out the cigars and alike.,So we could safely come to the /ERR/conclusion/ERR/ that smoking is harmful to everyone eager for health and honor except for the factories making out the cigars and alike.,conclusion,2,ST_13|ST_19,1,1,1,high,low,low,high,2,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||8,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,8,So we could safely come to the conclusion that smoking is harmful to everyone eager for health and honor except for the factories making out the cigars and alike.,So we could safely come to the conclusion that smoking is harmful to everyone eager for health and honor except for the factories /ERR/making out the cigars and alike/ERR/.,making out the cigars and alike,2,ST_13|ST_19,1,1,1,high,high,high,low,2,2,2,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||9,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,9,"However, even though smoking is hateful, we'd better say that we should try to control it not to ban it, or we would be subjective.","However, even though smoking is /ERR/hateful/ERR/, we'd better say that we should try to control it not to ban it, or we would be subjective.",hateful,2,ST_13|ST_19,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||10,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,10,"However, even though smoking is hateful, we'd better say that we should try to control it not to ban it, or we would be subjective.","However, even though smoking is hateful, we'd better say that we should try to control it not to ban it, or we would be /ERR/subjective/ERR/.",subjective,2,ST_13|ST_19,1,1,1,low,low,high,high,1,1,2,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||11,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,11,"For one thing, part of people here couldn't give it up right away for smoking is the comfort in their lives.","For one thing, /ERR/part of people/ERR/ here couldn't give it up right away for smoking is the comfort in their lives.",part of people,2,ST_13|ST_19,1,1,1,high,low,low,high,2,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||12,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,12,"For one thing, part of people here couldn't give it up right away for smoking is the comfort in their lives.","For one thing, part of people here couldn't give it up right away for /ERR/smoking is the comfort in their lives/ERR/.",smoking is the comfort in their lives,2,ST_13|ST_19,1,1,1,low,low,low,high,1,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||13,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,13,"It's obvious that if one could live longer without emotion and happiness, he might prefer to choose a shorter life with happiness.","It's obvious that if one could live longer without emotion and happiness, he might /ERR/prefer to choose/ERR/ a shorter life with happiness.",prefer to choose,2,ST_13|ST_19,0,1,1,high,low,high,high,0,1,2,0_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||14,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,14,So we shouldn't kill people's happiness at the moment except when we find something else to replace it and they are willing to accept.,So we shouldn't /ERR/kill people's happiness/ERR/ at the moment except when we find something else to replace it and they are willing to accept.,kill people's happiness,2,ST_13|ST_19,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||15,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,15,So we shouldn't kill people's happiness at the moment except when we find something else to replace it and they are willing to accept.,So we shouldn't kill people's happiness at the moment except when we find something else to replace it and they are /ERR/willing to accept/ERR/.,willing to accept,2,ST_13|ST_19,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||16,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,16,"For another, restaurants are the places where the citizens experience life and relax themselves.","/ERR/For another/ERR/, restaurants are the places where the citizens experience life and relax themselves.",For another,2,ST_13|ST_19,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||17,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,17,"For another, restaurants are the places where the citizens experience life and relax themselves.","For another, restaurants are the places where the citizens /ERR/experience life/ERR/ and relax themselves.",experience life,2,ST_13|ST_19,1,0,0,high,high,high,low,2,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||18,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,18,Many are accustomed to smoke there.,Many are accustomed to /ERR/smoke there/ERR/.,smoke there,2,ST_13|ST_19,0,1,1,high,high,low,high,0,2,1,0_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||19,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,19,"As we see, having a smoke in an ordinary restaurant is like a function of the restaurant itself.","As we see, having a smoke in an ordinary restaurant is like /ERR/a function of the restaurant itself/ERR/.",a function of the restaurant itself,2,ST_13|ST_19,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||20,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,20,"From the above, we could get to know that smoking could not be completely banned in the restaurants in the country.","/ERR/From the above/ERR/, we could get to know that smoking could not be completely banned in the restaurants in the country.",From the above,2,ST_13|ST_19,1,1,1,high,low,low,high,2,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||21,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,21,"From the above, we could get to know that smoking could not be completely banned in the restaurants in the country.","From the above, we could /ERR/get to know/ERR/ that smoking could not be completely banned in the restaurants in the country.",get to know,2,ST_13|ST_19,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx||23,CHN_B1_1 - Smoking - WE_CHN_SMK0_002_B1_1.xlsx,23,"For example, there could be restaurants and other public places alike especially for smoking, where you could smoke as you like without any limitation.","For example, there could be restaurants and other public places alike especially for smoking, where you could smoke /ERR/as you like without any limitation/ERR/.",as you like without any limitation,2,ST_13|ST_19,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||2,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,2,"But as we all know, cigarettes contain some poison, many countries have banned smoking at public places.","But as we all know, cigarettes contain some /ERR/poison/ERR/, many countries have banned smoking at public places.",poison,2,ST_12|ST_20,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||3,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,3,"But as we all know, cigarettes contain some poison, many countries have banned smoking at public places.","But as we all know, cigarettes contain some poison, many countries have banned smoking /ERR/at public places/ERR/.",at public places,2,ST_12|ST_20,1,1,0,low,high,high,high,1,2,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||4,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,4,"It's not enough, stopping smoking should not only at public places but also at restaurants in the country.","It's not enough, /ERR/stopping smoking should not only at public places/ERR/ but also at restaurants in the country.",stopping smoking should not only at public places,2,ST_12|ST_20,1,1,0,high,high,high,low,2,2,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||5,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,5,Scientists have improved that cigarette has nicotine.,Scientists have /ERR/improved/ERR/ that cigarette has nicotine.,improved,2,ST_12|ST_20,1,1,1,low,low,high,high,1,1,2,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||7,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,7,"People who smoking for a long time may get nicotinism, if it's very serious, people will die for this.","People who /ERR/smoking for a long time/ERR/ may get nicotinism, if it's very serious, people will die for this.",smoking for a long time,2,ST_12|ST_20,0,1,0,high,high,high,low,0,2,0,0_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||9,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,9,"People who smoking for a long time may get nicotinism, if it's very serious, people will die for this.","People who smoking for a long time may get nicotinism, if it's very serious, people will /ERR/die for this/ERR/.",die for this,2,ST_12|ST_20,0,1,0,high,low,high,high,0,1,0,0_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||10,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,10,And people who always smoking also will have lung cancer.,And people who always /ERR/smoking/ERR/ also will have lung cancer.,smoking,2,ST_12|ST_20,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||13,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,13,"So, for human being's health, smoking should be banned completely at all restaurants.","So, for /ERR/human being's health/ERR/, smoking should be banned completely at all restaurants.",human being's health,2,ST_12|ST_20,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||14,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,14,"Smoking is not only bad for smoking people, but also unhealthy for the people around them.","Smoking is not only bad for /ERR/smoking people/ERR/, but also unhealthy for the people around them.",smoking people,2,ST_12|ST_20,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||15,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,15,"When one person is smoking, the people around him may get second-hand smokes.","When one person is smoking, the people around him may get /ERR/second-hand smokes/ERR/.",second-hand smokes,2,ST_12|ST_20,1,0,1,low,high,high,high,1,0,2,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||16,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,16,"The second-hand smokes also contain nicotine, also harmful for human's body.","The second-hand smokes also contain nicotine, also harmful for /ERR/human's body/ERR/.",human's body,2,ST_12|ST_20,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||17,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,17,"And we see that, if people smoking in a restaurant, everyone in this restaurant will be harmed by them.","And we see that, if people /ERR/smoking in a restaurant/ERR/, everyone in this restaurant will be harmed by them.",smoking in a restaurant,2,ST_12|ST_20,1,0,1,low,high,high,high,1,0,2,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||18,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,18,"As far as I know, smoking also pollute environment.","As far as I know, smoking also /ERR/pollute environment/ERR/.",pollute environment,2,ST_12|ST_20,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||19,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,19,The smokes it produces will pollute our atmosphere.,The /ERR/smokes/ERR/ it produces will pollute our atmosphere.,smokes,2,ST_12|ST_20,0,1,1,high,low,low,high,0,1,1,0_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||21,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,21,"I don't know why people invented smoking, but I know why people stop smoking.","I don't know why people /ERR/invented smoking/ERR/, but I know why people stop smoking.",invented smoking,2,ST_12|ST_20,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||22,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,22,"In a word, smoking is bad for our health and also harmful for our word.","In a word, smoking is bad for our health and also harmful for our /ERR/word/ERR/.",word,2,ST_12|ST_20,0,0,1,high,high,low,high,0,0,1,0_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx||23,CHN_B1_1 - Smoking - WE_CHN_SMK0_003_B1_1.xlsx,23,"Banning smoking completely at all restaurants in the country is a little step, one day we will stop smoking all over the world!","/ERR/Banning smoking completely at all restaurants in the country/ERR/ is a little step, one day we will stop smoking all over the world!",Banning smoking completely at all restaurants in the country,2,ST_12|ST_20,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||1,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,1,"Nowadays, there still exist many uncivilized behaviors in the public such as smoking, spitting, littering.","Nowadays, there still exist many uncivilized behaviors /ERR/in the public/ERR/ such as smoking, spitting, littering.",in the public,2,ST_03|ST_19,0,1,0,high,high,high,low,0,2,0,0_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||2,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,2,"Especially, I believe that smoking recklessly in the public both does harm to the health of people and to the environment.","Especially, I believe that smoking recklessly /ERR/in the public/ERR/ both does harm to the health of people and to the environment.",in the public,2,ST_03|ST_19,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||3,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,3,"So, I support the initiative that smoking should be completely banned in the public.","So, I support the /ERR/initiative/ERR/ that smoking should be completely banned in the public.",initiative,2,ST_03|ST_19,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||4,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,4,"So, I support the initiative that smoking should be completely banned in the public.","So, I support the initiative that smoking should be completely banned /ERR/in the public/ERR/.",in the public,2,ST_03|ST_19,0,1,0,high,low,high,high,0,1,0,0_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||5,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,5,The following reasons can be figured out to support the argument.,The following reasons can be /ERR/figured out/ERR/ to support the argument.,figured out,2,ST_03|ST_19,0,1,1,high,low,low,high,0,1,1,0_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||6,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,6,"Undoubtedly, banning of public smoking is not only beneficial to others but also to the smoker's health.","Undoubtedly, /ERR/banning of public smoking/ERR/ is not only beneficial to others but also to the smoker's health.",banning of public smoking,2,ST_03|ST_19,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||7,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,7,"If smoking is banned, smokers may smoke less, there are less second hand smoking released into the air, so people have less chance to be exposed to the polluted air.","If smoking is banned, smokers may smoke less, there are less /ERR/second hand smoking/ERR/ released into the air, so people have less chance to be exposed to the polluted air.",second hand smoking,2,ST_03|ST_19,1,1,1,high,low,low,high,2,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||8,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,8,"Furthermore, no smoking environment will bring us fresh air and good mood.","Furthermore, /ERR/no smoking environment/ERR/ will bring us fresh air and good mood.",no smoking environment,2,ST_03|ST_19,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||9,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,9,"Furthermore, no smoking environment will bring us fresh air and good mood.","Furthermore, no smoking environment will bring us fresh air and /ERR/good mood/ERR/.",good mood,2,ST_03|ST_19,0,1,0,high,high,high,low,0,2,0,0_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||10,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,10,This will obviously promote cultural and ideological progress by forbidding bad manners and developing good ones.,This will obviously promote /ERR/cultural and ideological progress/ERR/ by forbidding bad manners and developing good ones.,cultural and ideological progress,2,ST_03|ST_19,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||11,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,11,"In addition, it is a reminder that we should improve our awareness of caring others.","In addition, it is a reminder that we should improve our /ERR/awareness of caring others/ERR/.",awareness of caring others,2,ST_03|ST_19,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||12,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,12,"Since it is not only beneficial to the smokers themselves but also to the society, why not take it?","Since it is not only beneficial to the smokers themselves but also to /ERR/the society/ERR/, why not take it?",the society,2,ST_03|ST_19,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||13,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,13,All mentioned above tell us the advantages of the banning.,/ERR/All mentioned above/ERR/ tell us the advantages of the banning.,All mentioned above,2,ST_03|ST_19,0,1,0,high,high,high,low,0,2,0,0_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||14,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,14,All mentioned above tell us the advantages of the banning.,All mentioned above tell us the advantages of /ERR/the banning/ERR/.,the banning,2,ST_03|ST_19,0,1,0,high,low,high,high,0,1,0,0_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||15,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,15,It is time to take the advice of banning and to put special emphasis on the improvement public environment though it is a litter harsh to the smokers.,It is time to /ERR/take the advice of banning/ERR/ and to put special emphasis on the improvement public environment though it is a litter harsh to the smokers.,take the advice of banning,2,ST_03|ST_19,1,0,0,high,high,high,low,2,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||16,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,16,It is time to take the advice of banning and to put special emphasis on the improvement public environment though it is a litter harsh to the smokers.,It is time to take the advice of banning and to put special emphasis on /ERR/the improvement public environment/ERR/ though it is a litter harsh to the smokers.,the improvement public environment,2,ST_03|ST_19,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx||17,CHN_B1_1 - Smoking - WE_CHN_SMK0_007_B1_1.xlsx,17,It is time to take the advice of banning and to put special emphasis on the improvement public environment though it is a litter harsh to the smokers.,It is time to take the advice of banning and to put special emphasis on the improvement public environment though it is a /ERR/litter harsh/ERR/ to the smokers.,litter harsh,2,ST_03|ST_19,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx||1,CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx,1,"Imaging your are enjoying your delicious meal when clouds of smoke surrounds you and a heavy smoker right beside you speaks out, whose breath is of tobacco.","/ERR/Imaging your are enjoying/ERR/ your delicious meal when clouds of smoke surrounds you and a heavy smoker right beside you speaks out, whose breath is of tobacco.",Imaging your are enjoying,2,ST_10|ST_14,1,1,1,low,low,low,high,1,1,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx||2,CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx,2,"Imaging your are enjoying your delicious meal when clouds of smoke surrounds you and a heavy smoker right beside you speaks out, whose breath is of tobacco.","Imaging your are enjoying your delicious meal when /ERR/clouds of smoke surrounds you/ERR/ and a heavy smoker right beside you speaks out, whose breath is of tobacco.",clouds of smoke surrounds you,2,ST_10|ST_14,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx||3,CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx,3,"Imaging your are enjoying your delicious meal when clouds of smoke surrounds you and a heavy smoker right beside you speaks out, whose breath is of tobacco.","Imaging your are enjoying your delicious meal when clouds of smoke surrounds you and a heavy smoker right beside you /ERR/speaks out/ERR/, whose breath is of tobacco.",speaks out,2,ST_10|ST_14,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx||4,CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx,4,"Imaging your are enjoying your delicious meal when clouds of smoke surrounds you and a heavy smoker right beside you speaks out, whose breath is of tobacco.","Imaging your are enjoying your delicious meal when clouds of smoke surrounds you and a heavy smoker right beside you speaks out, whose /ERR/breath is of tobacco/ERR/.",breath is of tobacco,2,ST_10|ST_14,1,1,1,low,high,low,high,1,2,1,1_1_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx||6,CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx,6,"You certainly lose your appetite and intend to escape from the man as soon as possible, will you?","You certainly lose your appetite and intend to /ERR/escape from the man/ERR/ as soon as possible, will you?",escape from the man,2,ST_10|ST_14,0,0,1,high,high,low,high,0,0,1,0_0_1
CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx||7,CHN_B1_1 - Smoking - WE_CHN_SMK0_010_B1_1.xlsx,7,"For me, I think that under no circumstances should smoking be allowed in public places, such as the restaurant.","For me, I think that under no circumstances should smoking be allowed in public places, such as /ERR/the restaurant/ERR/.",the restaurant,2,ST_10|ST_14,1,0,0,low,high,high,high,1,0,0,1_0_0
